file,figure,image_file,next_sentences
Solid Oxide Electrochemical Cells for High.pdf,Figure 1,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page24_1.png,"20                                                  Figure 1 Hydrogen production pathways published by DOE [1]. 1.1 Photoelectrochemical cells           As  shown  in      Figure    1,  the  PEC  pathway  is  a  long-term  technique  for  hydrogen  production  for  semi-central  facilities."
Solid Oxide Electrochemical Cells for High.pdf,Figure 2,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page26_1.png,22                                         Figure 2 Schematic diagram of photoelectrochemical devices [2].
Solid Oxide Electrochemical Cells for High.pdf,Figure 3,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page27_1.png,23                          2 p+ + H2O → ½ O        2 + 2 H+              at photoanode                                         (                                                                                                                     2)                        2 e- + 2 H+ → H     2                         at photocathode                                        (                                                                                                                     3)                                   Figure 3 Fundamental mechanism of photoelectrochemical reaction [3]. (                                H2O → ½ O      2 + H2;     ∆G = + 237 kJ/mol                                                                                                                    4)           Such energy threshold corresponds to a wavelength of                approximate      1000 nm.
Solid Oxide Electrochemical Cells for High.pdf,Figure   5,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page29_1.png,"25   1.1.2 Main process of photoelectrochemical system           The   schematics     of photocatalytic water splitting         is illustrated   Figure   5 The processes  include photon absorption, photon excitation,               charge separation, charge transfer,           and charge  recombination. Among them, the charge recombination is considered as the deactivation process  and it  is the only process that consumes            the photoexcited electrons. Figure 5 Schematic diagram of the photoelectrochemical process, including I. Charge recombination                                                           [3]."
Solid Oxide Electrochemical Cells for High.pdf,Figure 7,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page39_1.png,"Thus,   innovated   by   the   heterogeneous  photocatalytic systems, the tandem PEC configuration is proposed as shown in Figure 7(c). The  tandem system consists of an n-type photoanode and an appropriate p-type photocathode. Figure 7 Schematic diagram of PEC systems: (a) n-type photoanode, (b) p-type photocathode,                                            and (c) tandem system [11]. The tandem PEC system is based on two photosystems that are connected in a series as  shown in Figure 8 The n-type semiconductor serves as the photoanode to absorb the irradiated  photons and then create photoexcitation electrons and holes in conduction band and valance band  respectively."
Solid Oxide Electrochemical Cells for High.pdf,Figure 9,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page43_1.png,39                      Figure 9 Illustrative diagram of the electron transfer in CdS/(Pt-TiO2) hybrid photocatalytic                                                     system [42].
Solid Oxide Electrochemical Cells for High.pdf,Figure 10,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page48_1.png,44                                      Figure 10 Schematic diagram of proton-exchange-membrane based process [56].
Solid Oxide Electrochemical Cells for High.pdf,Figure 11,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page49_1.png,Figure 11 Schematic diagram of solid oxide photoelectrochemical cells used as the light-                                        charged oxygen battery  [51-54].
Solid Oxide Electrochemical Cells for High.pdf,Figure 12,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page51_1.png,"47                        Figure 12 Schematic diagram of MIEC based solid-state PEC system designed by Ye [51], I. 1.2.3 Integrated-PV/EC PEC system           Instead of simply combing the PV and EC cells, the two subsystems can be integrated  into a single device, named SOPEC [53, 55], as shown in Figure 13 In the configuration, the PV  part is based on the LSCr/SrTiO3 heterojunction and the design of EC part is symmetric with two  porous LSF electrodes and TZP electrolyte."
Solid Oxide Electrochemical Cells for High.pdf,Figure 13,..\PDFiles\Cropped_Images2\Solid Oxide Electrochemical Cells for High_cropped_page52_1.png,"Figure 13 Schematic diagram of PV/EC integrated solid-state PEC system  [53, 55]."
